date,cash,position_value,equity,open_positions,portfolio_heat
2018-03-05,88537.09500024484,25358.103674344104,113895.19867458894,1,0.007026455584830618
2018-03-06,88537.09500024484,25454.100457692708,113991.19545793755,1,0.00702053831085366
2018-03-07,88537.09500024484,25793.00355999419,114330.09856023903,1,0.0069997276735557215
2018-03-08,88537.09500024484,26173.28378416541,114710.37878441025,1,0.006976522641569558
2018-03-09,88537.09500024484,26964.528209383843,115501.62320962868,1,0.0069287299396649845
2018-03-12,88537.09500024484,27068.198223262512,115605.29322350735,1,0.00692251654312424
2018-03-13,88537.09500024484,26456.17176688277,114993.26676712761,1,0.006959360120041646
2018-03-14,88537.09500024484,26719.29791597106,115256.3929162159,1,0.0069434721542449345
2018-03-15,88537.09500024484,26721.391103128946,115258.48610337378,1,0.0069433460551850245
2018-03-16,88537.09500024484,26399.45355109946,114936.5485513443,1,0.006962794384372509
2018-03-19,88537.09500024484,25564.74418399996,114101.8391842448,1,0.007013730545747075
2018-03-20,88537.09500024484,25515.700987795568,114052.79598804041,1,0.007016746480256177
2018-03-21,88537.09500024484,25356.93900354087,113894.03400378571,1,0.0070265274367738864
2018-03-22,88537.09500024484,24385.320883924775,112922.4158841696,1,0.007086985772898683
2018-03-23,88537.09500024484,23745.862941483603,112282.95794172844,1,0.007127346566945448
2018-03-26,88537.09500024484,24481.32303441994,113018.41803466478,1,0.007080965817155556
2018-03-27,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-03-28,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-03-29,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-02,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-03,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-04,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-05,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-06,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-09,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-10,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-11,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-12,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-13,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-16,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-17,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-18,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-19,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-20,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-23,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-24,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-25,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-26,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-27,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-04-30,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-01,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-02,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-03,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-04,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-07,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-08,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-09,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-10,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-11,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-14,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-15,113208.92951412238,0.0,113208.92951412238,0,0.0
2018-05-16,92095.55087364065,21169.022497524067,113264.57337116472,1,0.009995087267325857
2018-05-17,92095.55087364065,21106.795901704143,113202.34677534479,1,0.010000581501971037
2018-05-18,92095.55087364065,20867.473152194318,112963.02402583497,1,0.010021768670802508
2018-05-21,92095.55087364065,21126.172524122714,113221.72339776336,1,0.009998870015112203
2018-05-22,92095.55087364065,20933.416926726175,113028.96780036682,1,0.010015921733804861
2018-05-23,92095.55087364065,21128.323306618924,113223.87418025958,1,0.009998680078186214
2018-05-24,92095.55087364065,21119.518352506293,113215.06922614694,1,0.009999457694804542
2018-05-25,92095.55087364065,21049.461281757947,113145.0121553986,1,0.010005649153904903
