strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.0, 'trend_window': 100}",0.2233175439060604,0.04130413549134904,-0.2792540281650172,0.3121849365011589,0.2792363196537109,0.14790882610632042,9.0,0.2222222222222222,0.026879240379351757,1.7551235539462438
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.2, 'trend_window': 75}",0.21731976934955854,0.04027697600065494,-0.19717308303303593,0.31943655544833055,0.2466344947654741,0.20427218249616058,9.0,0.3333333333333333,0.03159804654426528,2.046564151814748
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 40, 'exit_threshold': 55}",0.1878474283934164,0.0351700602590046,-0.19660584235241008,0.3503636669346424,0.1874866742637269,0.1788861400973188,5.0,0.6,0.036543682874546714,4.725404807515305
donchian_breakout,"{'entry_window': 20, 'exit_window': 10}",0.17786758171787653,0.033417815756977554,-0.4552257877398159,0.26111699117607917,0.24910438447880803,0.07340932051080878,23.0,0.391304347826087,0.013288569901617696,1.3550241356176609
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 35, 'exit_threshold': 55}",0.16991202659089666,0.03201247346815994,-0.11377344685621937,0.629188083383763,0.1760535563649967,0.2813703403801728,2.0,1.0,0.08220850155214675,inf
rsi_pullback,"{'rsi_window': 14, 'entry_threshold': 35, 'exit_threshold': 60}",0.16723782188263003,0.03153836221919315,-0.2024732391338303,0.32026207588587835,0.1737438137788681,0.1557655834129615,5.0,0.6,0.032861793288229475,4.6111011226513305
donchian_breakout,"{'entry_window': 55, 'exit_window': 10}",0.16548801432097893,0.031227667799244907,-0.2866702991057334,0.2611952970856015,0.21320169074958292,0.10893234456677049,15.0,0.4,0.01627808572810722,1.4406602843693277
donchian_breakout,"{'entry_window': 10, 'exit_window': 5}",0.16468194996533847,0.031084418226420718,-0.39676287174934566,0.2536460793631248,0.25925386631308744,0.0783450782311563,38.0,0.47368421052631576,0.006712587952386835,1.2839621720640435
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 45, 'exit_threshold': 55}",0.15003867160323026,0.0284681937581861,-0.23804647673920631,0.2854630657255442,0.17093955861322002,0.1195909057262572,7.0,0.7142857142857143,0.02187488254533218,2.272405941738422
bollinger_mean_reversion,"{'window': 30, 'std_mult': 2.0}",0.1498252723275093,0.028429870680273694,-0.2838527087210354,0.26058569642763424,0.18896839543796154,0.10015712306699875,11.0,0.6363636363636364,0.014751435368225818,1.7589683963565486
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.5, 'trend_window': 100}",0.1436006793802973,0.02730952477613746,-0.1944797365090073,0.24854786945039886,0.19454100494114182,0.14042349741086071,7.0,0.2857142857142857,0.02617239822815635,1.7948828974651545
volume_breakout,"{'breakout_window': 40, 'volume_multiplier': 1.2, 'trend_window': 100}",0.1331913171300676,0.02542503719442535,-0.23017743514534938,0.23287053203589167,0.18784244322570534,0.11045842603281371,9.0,0.2222222222222222,0.02255643607201479,1.6409343882582226
donchian_breakout,"{'entry_window': 55, 'exit_window': 5}",0.1262129299717214,0.024153924914475544,-0.21090391439201528,0.2320257115363484,0.17605302065129508,0.11452573075329321,20.0,0.4,0.008926243112289364,1.357354025299899
pullback_continuation,"{'pullback_ema_window': 20, 'trend_window': 50, 'long_window': 150, 'atr_stop_multiplier': 2.0}",0.12446703467734777,0.023834926197588535,-0.20916467759227786,0.2393264617176608,0.1638638647101434,0.11395292203232166,16.0,0.3125,0.010457430221765578,1.501825771039893
donchian_breakout,"{'entry_window': 40, 'exit_window': 5}",0.1082532346695082,0.020853378569981817,-0.2860731817308284,0.20983568587555906,0.1652139417968938,0.07289525863211865,22.0,0.4090909090909091,0.007773405198267916,1.3006644490001407
donchian_breakout,"{'entry_window': 40, 'exit_window': 10}",0.10777806280823743,0.0207654750403381,-0.3766376545780725,0.2034004250701834,0.17077205048157407,0.05513382633927183,17.0,0.4117647058823529,0.012053515410305667,1.3128056558264205
donchian_breakout,"{'entry_window': 40, 'exit_window': 20}",0.10676115829397559,0.0205772533933537,-0.4543802077006208,0.20171000999636374,0.18573397311246653,0.045286421029393766,14.0,0.42857142857142855,0.015116278048687423,1.313884842161571
rsi_pullback,"{'rsi_window': 14, 'entry_threshold': 40, 'exit_threshold': 55}",0.10627797690690866,0.020487771582451852,-0.26248049679173113,0.2291715604423801,0.14397147054695977,0.07805445293220457,8.0,0.75,0.014753723062819982,1.7159355396086797
rsi_pullback,"{'rsi_window': 10, 'entry_threshold': 40, 'exit_threshold': 55}",0.09759275673217194,0.018873978101304756,-0.27797269886777864,0.21011045350802882,0.13523491847782196,0.06789867558282194,12.0,0.75,0.010132240186828066,1.4178812125092737
macd_momentum,"{'fast': 12, 'slow': 21, 'signal': 5}",0.09631126243191712,0.018635001462275147,-0.49764103078258204,0.19439974787791534,0.2035729974469653,0.03744667402719999,67.0,0.3582089552238806,0.0032155146890234937,1.1650391336994956
