strategy,params,total_return,cagr,max_drawdown,sharpe,sortino,calmar,number_of_trades,win_rate,average_trade_return,profit_factor
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 40, 'exit_threshold': 55}",0.5028977917655086,0.08524268928653922,-0.1547597582546112,0.8419398237302245,0.24889091136804004,0.550806554933342,3.0,1.0,0.14574477023950558,inf
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 150, 'atr_stop_multiplier': 2.0}",0.3168880914423571,0.05682975455585604,-0.5013483018647588,0.33170136391578986,0.3425557873230002,0.11335383872744452,24.0,0.2916666666666667,0.02401442157491625,1.6329680297649136
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 200, 'atr_stop_multiplier': 2.0}",0.3168880914423571,0.05682975455585604,-0.5013483018647588,0.33170136391578986,0.3425557873230002,0.11335383872744452,24.0,0.2916666666666667,0.02401442157491625,1.6329680297649136
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 150, 'atr_stop_multiplier': 3.0}",0.31562035291104196,0.05662538801262973,-0.4777787927976166,0.33088972661241023,0.3296074632712597,0.11851800219315262,23.0,0.30434782608695654,0.025320415150107963,1.6438423591834614
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 200, 'atr_stop_multiplier': 3.0}",0.31562035291104196,0.05662538801262973,-0.4777787927976166,0.33088972661241023,0.3296074632712597,0.11851800219315262,23.0,0.30434782608695654,0.025320415150107963,1.6438423591834614
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 150, 'atr_stop_multiplier': 2.5}",0.18296682152100074,0.034314607728844315,-0.5415013268326054,0.25999568764639397,0.2572252443128775,0.06336938808545525,24.0,0.2916666666666667,0.020042123287088476,1.4781988897430978
pullback_continuation,"{'pullback_ema_window': 10, 'trend_window': 50, 'long_window': 200, 'atr_stop_multiplier': 2.5}",0.18296682152100074,0.034314607728844315,-0.5415013268326054,0.25999568764639397,0.2572252443128775,0.06336938808545525,24.0,0.2916666666666667,0.020042123287088476,1.4781988897430978
pullback_continuation,"{'pullback_ema_window': 20, 'trend_window': 50, 'long_window': 150, 'atr_stop_multiplier': 2.0}",0.04228545830842245,0.008350847725181021,-0.4551270825794711,0.1581134728099767,0.1331468694370639,0.01834838673596809,25.0,0.24,0.00997247370942401,1.2879649897114755
pullback_continuation,"{'pullback_ema_window': 20, 'trend_window': 50, 'long_window': 200, 'atr_stop_multiplier': 2.0}",0.04228545830842245,0.008350847725181021,-0.4551270825794711,0.1581134728099767,0.1331468694370639,0.01834838673596809,25.0,0.24,0.00997247370942401,1.2879649897114755
ema_cross,"{'fast_window': 20, 'slow_window': 20}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 35, 'exit_threshold': 55}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi_pullback,"{'rsi_window': 21, 'entry_threshold': 35, 'exit_threshold': 60}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
