symbol,framework,strategy,params_json,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,excess_profit_vs_plain_dca,excess_final_equity_vs_plain_dca,excess_irr_pct_vs_plain_dca,investigation_note
INTC,B_entry_timing_only_no_sell,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 30}",2450625.484905012,610000.0,1840625.484905012,301.74188277131344,58.880314366471495,-50.96840876477031,1.7611173339724708,30000.0,2420625.484905012,6.011146057888315,61.0,37.0,0.0,579.4205794205793,0.0,1.0,117886.67865761742,117886.67865761742,2.267980476024931,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
INTC,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 30}",2401281.570511748,610000.0,1791281.570511748,293.65271647733573,57.94254830720917,-51.2013258832815,1.7353867430072312,12000.0,2389281.570511748,4.340635722359928,61.0,82.0,0.0,597.4025974025969,0.6,0.4,68542.76426435355,68542.76426435355,1.3302144167626082,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
CSCO,A_100pct_monthly_dca,plain_dca,{},1434694.6346714506,610000.0,824694.6346714506,135.19584174941812,35.078262090225735,-19.11595854415895,1.8251202667525623,0.0,1434694.6346714506,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
CSCO,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 60, ""rsi_window"": 10}",1447699.9072445487,610000.0,837699.9072445487,137.32785364664733,35.465479537867154,-14.837460032450512,1.8871180884063912,20000.0,1427699.9072445487,33.08049453049268,61.0,24.0,0.0,589.4105894105894,0.0,1.0,13005.272573098075,13005.272573098075,0.38721744764141874,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
CSCO,C_60pct_dca_40pct_tactical_reserve,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 55, ""rsi_window"": 10}",1437549.338052019,610000.0,827549.338052019,135.66382591016705,35.16352023220096,-14.793637242649304,1.8590177141642832,12000.0,1425549.338052019,13.866159147878681,61.0,81.0,0.0,597.402597402597,0.6,0.4,2854.7033805684187,2854.7033805684187,0.08525814197522408,The reserve sleeve added value by waiting for recovery signals while the 60% core stayed continuously invested.
LRCX,A_100pct_monthly_dca,plain_dca,{},3264405.2170487423,610000.0,2654405.2170487423,435.1483962374988,72.4164505253585,-37.758215201285005,1.8931858461331175,0.0,3264405.2170487423,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
LRCX,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 65, ""rsi_window"": 14}",3316812.1246030885,610000.0,2706812.1246030885,443.73969255788336,73.18640448043516,-37.13387689657427,1.9955708944977515,20000.0,3296812.1246030885,34.99604785142608,61.0,25.0,0.0,589.4105894105893,0.0,1.0,52406.90755434614,52406.90755434614,0.7699539550766588,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
LRCX,C_60pct_dca_40pct_tactical_reserve,bollinger_mean_reversion,"{""std_mult"": 2.0, ""window"": 15}",3261943.153913065,610000.0,2651943.153913065,434.74477933001066,72.38002390936786,-37.39331826067318,1.9044177304260645,8000.0,3253943.153913065,2.8420895466311333,61.0,90.0,0.0,601.398601398601,0.6,0.4,-2462.063135677483,-2462.063135677483,-0.036426615990635014,Timing lagged because continuous monthly exposure captured the trend better than delayed deployment.
AMAT,A_100pct_monthly_dca,plain_dca,{},2332127.02787285,610000.0,1722127.0278728502,282.315906208664,56.60031204504274,-41.107183017300564,1.8396022587262117,0.0,2332127.02787285,0.0,61.0,61.0,0.0,609.390609390609,1.0,0.0,0.0,0.0,0.0,Plain DCA baseline.
AMAT,B_entry_timing_only_no_sell,rsi_pullback,"{""entry_threshold"": 45, ""exit_threshold"": 65, ""rsi_window"": 10}",2431333.655972919,610000.0,1821333.655972919,298.57928786441295,58.515606896144455,-39.32611708106519,1.9185096068373628,20000.0,2411333.655972919,32.363291739646186,61.0,27.0,0.0,589.4105894105893,0.0,1.0,99206.62810006877,99206.62810006877,1.915294851101713,Entry timing improved the monthly plan by waiting for bullish regimes before deploying accumulated cash.
