symbol,framework,objective,final_equity,total_contributed,net_profit,profit_on_contributed_pct,money_weighted_irr_pct,max_drawdown_pct,sharpe,ending_cash,ending_invested_value,average_cash_pct,contribution_count,buy_count,sell_count,total_commission,monthly_immediate_pct,reserve_pct,total_buys,excess_final_equity_vs_plain_dca,excess_irr_vs_plain_dca,beat_plain_dca,sortino
AVGO,B_entry_timing_only_no_sell,final_equity,951451.5210158937,420000.0,531451.5210158937,,52.21215927621742,-34.750465838679176,1.9824593142189435,,,35.8796254961527,,,,,,,21.0,-277511.1977922325,-18.757446320442455,False,4.568688333602151
AVGO,B_entry_timing_only_no_sell,irr,951451.5210158937,420000.0,531451.5210158937,,52.21215927621742,-34.750465838679176,1.9824593142189435,,,35.8796254961527,,,,,,,21.0,-277511.1977922325,-18.757446320442455,False,4.568688333602151
AVGO,B_entry_timing_only_no_sell,risk_adjusted,950153.7279558151,420000.0,530153.7279558151,,52.11554301748586,-34.750465838679176,1.9820845430204255,,,35.99742717932231,,,,,,,20.0,-278808.990852311,-18.854062579174013,False,4.5536395059151555
AVGO,B_entry_timing_only_no_sell,plateau,951451.5210158937,420000.0,531451.5210158937,,52.21215927621742,-34.750465838679176,1.9824593142189435,,,35.8796254961527,,,,,,,21.0,-277511.1977922325,-18.757446320442455,False,4.568688333602151
AVGO,C_60pct_dca_40pct_tactical_reserve,final_equity,1117958.2396912333,420000.0,697958.2396912333,,63.8798318425954,-35.84667380371569,2.057866104545397,,,12.412571541270168,,,,,,,63.0,-111004.47911689291,-7.089773754064474,False,5.309188560800946
AVGO,C_60pct_dca_40pct_tactical_reserve,irr,1117958.2396912333,420000.0,697958.2396912333,,63.8798318425954,-35.84667380371569,2.057866104545397,,,12.412571541270168,,,,,,,63.0,-111004.47911689291,-7.089773754064474,False,5.309188560800946
AVGO,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,1117958.2396912333,420000.0,697958.2396912333,,63.8798318425954,-35.84667380371569,2.057866104545397,,,12.412571541270168,,,,,,,63.0,-111004.47911689291,-7.089773754064474,False,5.309188560800946
AVGO,C_60pct_dca_40pct_tactical_reserve,plateau,1117958.2396912333,420000.0,697958.2396912333,,63.8798318425954,-35.84667380371569,2.057866104545397,,,12.412571541270168,,,,,,,63.0,-111004.47911689291,-7.089773754064474,False,5.309188560800946
TSLA,A_100pct_monthly_dca,baseline,675001.6735094727,420000.0,255001.67350947275,60.71468416892208,28.972328460472056,-50.221142376345064,2.0003502538412077,0.0,675001.6735094727,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
TSLA,B_entry_timing_only_no_sell,final_equity,633118.5457297575,420000.0,213118.54572975752,,24.858797816456686,-45.34733218693647,1.8078957833297944,,,28.714508667383654,,,,,,,7.0,-41883.12777971523,-4.11353064401537,False,4.982553594916095
TSLA,B_entry_timing_only_no_sell,irr,633118.5457297575,420000.0,213118.54572975752,,24.858797816456686,-45.34733218693647,1.8078957833297944,,,28.714508667383654,,,,,,,7.0,-41883.12777971523,-4.11353064401537,False,4.982553594916095
TSLA,B_entry_timing_only_no_sell,risk_adjusted,633118.5457297575,420000.0,213118.54572975752,,24.858797816456686,-45.34733218693647,1.8078957833297944,,,28.714508667383654,,,,,,,7.0,-41883.12777971523,-4.11353064401537,False,4.982553594916095
TSLA,B_entry_timing_only_no_sell,plateau,633118.5457297575,420000.0,213118.54572975752,,24.858797816456686,-45.34733218693647,1.8078957833297944,,,28.714508667383654,,,,,,,7.0,-41883.12777971523,-4.11353064401537,False,4.982553594916095
TSLA,C_60pct_dca_40pct_tactical_reserve,final_equity,658248.4223975867,420000.0,238248.42239758675,,27.350428598019565,-48.426268188300945,1.9726276622996333,,,10.210014517620397,,,,,,,49.0,-16753.251111886,-1.6218998624524907,False,4.591589823297325
TSLA,C_60pct_dca_40pct_tactical_reserve,irr,658248.4223975867,420000.0,238248.42239758675,,27.350428598019565,-48.426268188300945,1.9726276622996333,,,10.210014517620397,,,,,,,49.0,-16753.251111886,-1.6218998624524907,False,4.591589823297325
TSLA,C_60pct_dca_40pct_tactical_reserve,risk_adjusted,648397.7568160315,420000.0,228397.75681603153,,26.38234516034941,-49.75638478452675,1.9659247978461558,,,11.126741532755407,,,,,,,49.0,-26603.91669344122,-2.589983300122647,False,4.5361238923958025
TSLA,C_60pct_dca_40pct_tactical_reserve,plateau,658248.4223975867,420000.0,238248.42239758675,,27.350428598019565,-48.426268188300945,1.9726276622996333,,,10.210014517620397,,,,,,,49.0,-16753.251111886,-1.6218998624524907,False,4.591589823297325
META,A_100pct_monthly_dca,baseline,597668.517898079,420000.0,177668.517898079,42.30202807097119,21.214953021083677,-31.510968797818705,2.0388573394561007,0.0,597668.517898079,0.0,42.0,42.0,0.0,419.58041958041935,1.0,0.0,,0.0,0.0,False,
META,B_entry_timing_only_no_sell,final_equity,567736.0420835773,420000.0,147736.04208357725,,18.009836898705228,-29.877733692379216,1.9177490903249255,,,4.827478515963439,,,,,,,25.0,-29932.475814501755,-3.205116122378449,False,6.084056602850451
META,B_entry_timing_only_no_sell,irr,567736.0420835773,420000.0,147736.04208357725,,18.009836898705228,-29.877733692379216,1.9177490903249255,,,4.827478515963439,,,,,,,25.0,-29932.475814501755,-3.205116122378449,False,6.084056602850451
META,B_entry_timing_only_no_sell,risk_adjusted,569178.2927478005,420000.0,149178.29274780047,,18.167145502796966,-29.892238656223146,1.918730376961977,,,4.670417020967601,,,,,,,25.0,-28490.225150278537,-3.04780751828671,False,6.0878246935234515
META,B_entry_timing_only_no_sell,plateau,510389.6733215329,420000.0,90389.6733215329,,11.495779474395071,-30.059235737345947,1.8162685070636848,,,21.486714104992764,,,,,,,18.0,-87278.84457654611,-9.719173546688605,False,5.762049883208831
META,C_60pct_dca_40pct_tactical_reserve,final_equity,585695.5275722782,420000.0,165695.52757227817,,19.94769602098308,-30.88833198890474,1.9951507326636784,,,1.853138354895339,,,,,,,67.0,-11972.990325800842,-1.2672570001005958,False,5.975293840158251
